table_name,incremental_column,primary_key
customers,updated_at,customer_id
orders,order_date,order_id
products,last_modified,product_id
order_items,updated_at,item_id
order_details,updated_at,detail_id
product_categories,updated_at,category_id
product_reviews,review_date,review_id
product_inventory,last_sync,inventory_id
shipping_addresses,updated_at,address_id
payment_methods,updated_at,payment_method_id
invoices,invoice_date,invoice_id
payments,payment_date,payment_id
refunds,refund_date,refund_id
shipments,shipped_date,shipment_id
tracking_events,event_timestamp,event_id
returns,return_date,return_id
return_items,updated_at,return_item_id
employees,modified_date,employee_id
departments,updated_at,dept_id
locations,updated_at,location_id
warehouses,updated_at,warehouse_id
suppliers,last_updated,supplier_id
supplier_contacts,updated_at,contact_id
purchase_orders,order_date,po_id
purchase_order_items,updated_at,po_item_id
inventory_transactions,transaction_date,transaction_id
stock_levels,last_counted,stock_id
stock_adjustments,adjustment_date,adjustment_id
promotions,updated_at,promotion_id
discounts,updated_at,discount_id
coupons,updated_at,coupon_id
coupon_usage,used_date,usage_id
user_accounts,last_login,user_id
user_profiles,updated_at,profile_id
user_preferences,updated_at,preference_id
user_sessions,session_start,session_id
user_activity_log,activity_timestamp,log_id
shopping_carts,updated_at,cart_id
cart_items,updated_at,cart_item_id
wishlist,updated_at,wishlist_id
wishlist_items,updated_at,wishlist_item_id
product_views,view_timestamp,view_id
product_searches,search_timestamp,search_id
search_results,created_at,result_id
campaigns,updated_at,campaign_id
campaign_performance,report_date,performance_id
email_campaigns,sent_date,email_campaign_id
email_subscribers,subscribed_date,subscriber_id
email_opens,open_timestamp,open_id
email_clicks,click_timestamp,click_id
social_media_posts,post_date,post_id
social_engagement,engagement_timestamp,engagement_id
web_analytics,event_timestamp,analytics_id
page_views,view_timestamp,page_view_id
conversions,conversion_date,conversion_id
ab_tests,updated_at,test_id
ab_test_variants,updated_at,variant_id
ab_test_results,result_date,result_id
customer_segments,updated_at,segment_id
customer_segment_members,assigned_date,member_id
customer_lifetime_value,calculated_date,clv_id
customer_interactions,interaction_timestamp,interaction_id
customer_feedback,feedback_date,feedback_id
customer_support_tickets,created_date,ticket_id
ticket_messages,message_timestamp,message_id
ticket_attachments,uploaded_date,attachment_id
knowledge_base_articles,updated_at,article_id
faqs,updated_at,faq_id
vendors,updated_at,vendor_id
vendor_contracts,contract_date,contract_id
vendor_invoices,invoice_date,vendor_invoice_id
vendor_payments,payment_date,vendor_payment_id
accounts,updated_at,account_id
transactions,transaction_timestamp,txn_id
journal_entries,entry_date,entry_id
general_ledger,posting_date,gl_id
budgets,fiscal_year,budget_id
forecast,forecast_date,forecast_id
revenue_recognition,recognition_date,revenue_id
cost_allocation,allocation_date,allocation_id
tax_records,tax_date,tax_id
audit_log,audit_timestamp,audit_id
data_quality_checks,check_timestamp,check_id
etl_execution_log,execution_start,execution_id
etl_error_log,error_timestamp,error_id
config_parameters,updated_at,config_id
system_settings,updated_at,setting_id
user_roles,updated_at,role_id
user_permissions,updated_at,permission_id
api_keys,created_date,api_key_id
api_usage_log,request_timestamp,request_id
webhook_events,event_timestamp,webhook_id
notifications,sent_timestamp,notification_id
alerts,alert_timestamp,alert_id
scheduled_jobs,updated_at,job_id
job_execution_history,execution_timestamp,execution_history_id
data_lineage,updated_at,lineage_id
